Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Techniki kompozytorskie w XX i XXI wieku	2L	dr Mateusz Ryczek	2	zst	egz	2	2	2	2	4	I		czwartek	08:25	09:55	112SKK			
Technologia muzyki teatralnej i filmowej 	2M	dr hab. Sebastian Ładyżyński	7	zst	egz	2	2	2	2	4	I		wtorek	09:00	12:00	301B			
Technologia muzyki komputerowej 1	1M	dr Marcin Rupociński	2	zst	zst	2	2	3	3	6	I		wtorek	09:00	12:00	112SKK			
Technologia muzyki komputerowej 2	2M	dr Marcin Rupociński	2	zst	egz	2	2	2	2	4	I		wtorek	09:00	12:00	112SKK		Kontynuacja "Technologii muzyki kumputerowej 1"	
Translatorium specjalistyczne języka angielskiego	2M	mgr Aleksandra Ferenc	8	zst	zst	1	1	1	1	2	I		czwaretk	10:00	11:30	201F			
Wielkie formy muzyczne	2M	dr Aleksandra Pijarowska, prof. AMKL	15	zst	egz	2	2	2	2	4	I		środa	09:25	10:55	301B			
Wprowadzenie do teorii muzyki	1L	dr hab. Tomasz Kienik	10	zst	egz	1	1	4	4	8	I		czwaretk	09:05	09:50	301B			
Arteterapia	2L	dr Katarzyna Turek	8	zal	zst	2	2	2	2	4	I	Muzykoterapia	wtorek	11:25	12:55	201F			
Terapia ruchem i tańcem	3L	dr Agnieszka Zygmont	2	zst	egz	1	1	1	1	2	I	Muzykoterapia	poniedziałek	09:30	11:00			wykład, ul. Ciepła 15B	
Podstawy harmonii (grupa 1)	2L	mgr Aleksandra Ferenc	4	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	08:20	09:05	203B		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy harmonii (grupa 2)	2L	mgr Aleksandra Ferenc	4	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	09:10	09:55	203B		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Historia muzykoterapii z literaturą muzyczną	1L	dr Klaudia Kukiełczyńska-Krawczyk	12	zst	zst	2	2	2	2	4	I	Muzykoterapia	środa	11:20	12:50	305F			
Instrumentarium Orffa w muzykoterapii	1L	dr Klaudia Kukiełczyńska-Krawczyk	12	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	10:30	11:15	305F			
Kontrapunkt	3L	mgr Jan Bielak	12	zal	zst	1	1	2	2	4	I	Muzykoterapia	środa	13:15	14:00	201F			
Metody i techniki muzykoterapii (grupa 1)	2L	dr Daniela Colonna-Kasjan	3	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	08:20	09:05	305F			
Metody i techniki muzykoterapii (grupa 2)	2L	dr Daniela Colonna-Kasjan	3	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	09:10	09:55	305F			
Metody i techniki parateatralne	1L	mgr Wiktoria Łukowicz-Zając	14	zal	zst	2	2	2	2	4	I	Muzykoterapia	środa	15:00	16:30	305F			
Metody i techniki relaksacyjne	2L	dr Agnieszka Zygmont		zal	zst	1	1	1	1	2	I	Muzykoterapia	poniedziałek	08:00	09:30			grupa I i II, ul. Ciepła 15B	
Muzykoterapia kreatywna 	1M	dr Klaudia Kukiełczyńska-Krawczyk	12	zal	zst	2	2	2	2	4	I	Muzykoterapia	wtorek	15:00	16:30	201F			
Pedagogika specjalna	1L	dr hab. Barbara Winczura	16	zst	zst	2	2	2	2	4	I	Muzykoterapia	środa	08:30	10:00	217A			
Podstawy anatomii i fizjologii	1L	mgr Katarzyna Koenig	12	zal	zst	2	2	2	2	4	I	Muzykoterapia	czwartek	13:30	15:00	201F			
Podstawy kompozycji i instrumentacji	2L	mgr Olgierd Juzala-Deprati (doktorant)	2	zal	zst	1	1	2	2	4	I	Muzykoterapia	środa	14:30	15:00	305F		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy kształcenia słuchu (grupa 1)	1L	mgr Joanna Kołodziejska	4	zal	zst	1	1	1	1	2	I	Muzykoterapia	piątek	11:40	12:25	201F		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy kształcenia słuchu (grupa 2)	1L	mgr Joanna Kołodziejska	4	zal	zst	1	1	1	1	2	I	Muzykoterapia	piątek	12:25	13:20	201F		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Profilaktyczne zastosowanie muzykoterapii	1M	mgr Angelika Wojciechowska	10	zal	zst	1	1	1	1	2	I	Muzykoterapia	poniedziałek	14:10	14:55	305F			
Profilaktyczne zastosowanie muzykoterapii	1M	mgr Angelika Wojciechowska	10	zal	zst	1	1	1	1	2	I	Muzykoterapia	poniedziałek	15:00	15:45	305F			
Psychiatria	2L	dr E. Trypka, prof. UMW	10	zst	egz	2	2	2	2	4	I	Muzykoterapia	czwartek	10:30	12:30			co 2 tygodnie, Klinika Psychiatrii, Wyb. Pasteura 10	
Psychologia kliniczna 	2L	dr Barbara Kobusińska	12	zst	egz	2	2	2	2	4	I	Muzykoterapia	poniedziałek	08:00	09:30	201F			
Psychologia muzyki	2M	dr Amelia Golema	8	zst	egz	1	1	1	1	2	I	Muzykoterapia	wtorek	12:05	13:35	217A		wykład	
Psychologia ogólna	1L	mgr Wojciech Bartnicki	4	zal	zst	2	2	2	2	4	I	Muzykoterapia	czwartek	08:00	09:30	002B			
Psychoterapia	2L	dr Barbara Kobusińska	12	zal	zst	2	2	2	2	4	I	Muzykoterapia	poniedziałek	09:35	11:05	201F			
Rehabilitacja	2L	mgr Arnold Górka	12	zal	zst	2	2	2	2	4	I	Muzykoterapia	wtorek	13:45	15:15	201F			
Wprowadzenie do analizy dzieła muzycznego	2L	mgr Aleksandra Ferenc	2	zal	zst	1	1	1	1	2	I	Muzykoterapia	czwartek	10:00	11:30	201F		co 2 tygodnie, dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Wprowadzenie do historii muzyki	1L	mgr Joanna Kołodziejska	12	zst	zst	2	2	2	2	4	I	Muzykoterapia	poniedziałek	12:10	13:40	201F		co 2 tygodnie, dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
